order_id,item_id,item_name,category,quantity,price
100000,20,Easy Egg,Food,1,1.5
100000,89,The Shrimp,Food,1,15.42
100000,39,Kimchi,Food,1,1.0
100000,107,water cup,NA Beverage,1,0.0
100000,12,Caramel White Choc Cookie,Food,1,3.5
100000,107,water cup,NA Beverage,1,0.0
100001,13,Children's Popcorn Chicken,Food,1,5.98
100001,86,The Jam,Food,1,15.07
100001,46,Large Kimchi Fry,Food,1,13.38
100001,11,Cans,Beer,1,5.83
100002,107,water cup,NA Beverage,1,0.0
100002,11,Cans,Beer,1,5.83
100002,24,Fried Chicken Bowl,Food,1,14.34
100002,75,Small Plain Fry,Food,1,4.18
100003,27,Fried Vegan Chik'n Banh Mi,Food,1,11.73
100003,7,Calamari App,Food,1,18.03
100003,76,Soda,NA Beverage,1,2.95
100003,87,The Pao,Food,1,13.41
100003,74,Small Kimchi Fry,Food,1,9.65
100004,54,Pesto Chicken Salad,Food,1,11.02
100004,76,Soda,NA Beverage,1,2.95
100004,58,Pork Banh Mi,Food,1,10.81
100004,29,Fritter App,Food,1,6.54
100005,15,Cilantro Pesto Aioli,Food,1,1.0
100005,87,The Pao,Food,1,13.41
100005,107,water cup,NA Beverage,1,0.0
100006,28,Fried Vegan Chik'n Salad,Food,1,12.51
100006,89,The Shrimp,Food,1,15.42
100007,90,The Shroom,Food,1,14.66
100007,48,Lemon Blueberry Cookie,Food,1,3.5
100007,88,The Pesto,Food,1,13.44
100007,86,The Jam,Food,1,15.07
100008,87,The Pao,Food,1,13.41
100008,13,Children's Popcorn Chicken,Food,1,5.98
100008,88,The Pesto,Food,1,13.44
100009,76,Soda,NA Beverage,1,2.95
100009,24,Fried Chicken Bowl,Food,1,14.34
100009,52,Pesto Banh Mi,Food,1,10.71
100009,90,The Shroom,Food,1,14.66
100010,24,Fried Chicken Bowl,Food,1,14.34
100010,81,Spring Rolls,Food,1,6.52
100010,76,Soda,NA Beverage,1,2.95
100011,24,Fried Chicken Bowl,Food,1,14.34
100011,107,water cup,NA Beverage,1,0.0
100011,76,Soda,NA Beverage,1,2.95
100011,86,The Jam,Food,1,15.07
100012,89,The Shrimp,Food,1,15.42
100012,58,Pork Banh Mi,Food,1,10.81
100012,107,water cup,NA Beverage,1,0.0
100012,107,water cup,NA Beverage,1,0.0
100013,107,water cup,NA Beverage,1,0.0
100013,24,Fried Chicken Bowl,Food,1,14.34
100013,23,Fried Chicken Banh Mi,Food,1,11.66
100014,76,Soda,NA Beverage,1,2.95
100014,77,Soft Serve,Food,1,6.0
100015,81,Spring Rolls,Food,1,6.52
100015,58,Pork Banh Mi,Food,1,10.81
100015,44,Kung Pao Pork Salad,Food,1,11.06
100015,48,Lemon Blueberry Cookie,Food,1,3.5
100015,88,The Pesto,Food,1,13.44
100016,37,Iced Tea,NA Beverage,1,2.95
100016,86,The Jam,Food,1,15.07
100016,75,Small Plain Fry,Food,1,4.18
100016,52,Pesto Banh Mi,Food,1,10.71
100016,67,Scoop Fried Rice,Food,1,5.0
100016,74,Small Kimchi Fry,Food,1,9.65
100017,76,Soda,NA Beverage,1,2.95
100017,76,Soda,NA Beverage,1,2.95
100018,88,The Pesto,Food,1,13.44
100018,86,The Jam,Food,1,15.07
100019,107,water cup,NA Beverage,1,0.0
100019,87,The Pao,Food,1,13.41
100019,87,The Pao,Food,1,13.41
100019,86,The Jam,Food,1,15.07
100020,76,Soda,NA Beverage,1,2.95
100020,107,water cup,NA Beverage,1,0.0
100020,76,Soda,NA Beverage,1,2.95
100021,23,Fried Chicken Banh Mi,Food,1,11.66
100021,44,Kung Pao Pork Salad,Food,1,11.06
100021,87,The Pao,Food,1,13.41
100022,90,The Shroom,Food,1,14.66
100022,24,Fried Chicken Bowl,Food,1,14.34
100022,107,water cup,NA Beverage,1,0.0
100023,75,Small Plain Fry,Food,1,4.18
100023,52,Pesto Banh Mi,Food,1,10.71
100024,47,Large Plain Fry,Food,1,6.3
100024,76,Soda,NA Beverage,1,2.95
100025,89,The Shrimp,Food,1,15.42
100025,81,Spring Rolls,Food,1,6.52
100025,90,The Shroom,Food,1,14.66
100025,74,Small Kimchi Fry,Food,1,9.65
100025,87,The Pao,Food,1,13.41
100025,91,The Squid,Food,1,17.28
100025,11,Cans,Beer,1,5.83
100025,74,Small Kimchi Fry,Food,1,9.65
100026,13,Children's Popcorn Chicken,Food,1,5.98
100026,86,The Jam,Food,1,15.07
100026,58,Pork Banh Mi,Food,1,10.81
100026,34,Full Banh Mi CATER,Food,1,12.0
100026,87,The Pao,Food,1,13.41
100026,76,Soda,NA Beverage,1,2.95
100027,87,The Pao,Food,1,13.41
100027,74,Small Kimchi Fry,Food,1,9.65
100027,88,The Pesto,Food,1,13.44
100027,27,Fried Vegan Chik'n Banh Mi,Food,1,11.73
100028,86,The Jam,Food,1,15.07
100028,58,Pork Banh Mi,Food,1,10.81
100028,76,Soda,NA Beverage,1,2.95
100028,14,Chocolate Pretzel Cookie,Food,1,3.5
100029,107,water cup,NA Beverage,1,0.0
100029,74,Small Kimchi Fry,Food,1,9.65
100029,75,Small Plain Fry,Food,1,4.18
100029,87,The Pao,Food,1,13.41
100029,44,Kung Pao Pork Salad,Food,1,11.06
100029,14,Chocolate Pretzel Cookie,Food,1,3.5
100029,87,The Pao,Food,1,13.41
100030,74,Small Kimchi Fry,Food,1,9.65
100030,74,Small Kimchi Fry,Food,1,9.65
100031,107,water cup,NA Beverage,1,0.0
100031,86,The Jam,Food,1,15.07
100031,76,Soda,NA Beverage,1,2.95
100032,47,Large Plain Fry,Food,1,6.3
100032,76,Soda,NA Beverage,1,2.95
100032,24,Fried Chicken Bowl,Food,1,14.34
100032,74,Small Kimchi Fry,Food,1,9.65
100033,88,The Pesto,Food,1,13.44
100033,46,Large Kimchi Fry,Food,1,13.38
100033,74,Small Kimchi Fry,Food,1,9.65
100034,62,Reeses Cookie,Food,1,3.5
100034,107,water cup,NA Beverage,1,0.0
100034,24,Fried Chicken Bowl,Food,1,14.34
100035,46,Large Kimchi Fry,Food,1,13.38
100035,87,The Pao,Food,1,13.41
100036,76,Soda,NA Beverage,1,2.95
100036,58,Pork Banh Mi,Food,1,10.81
100036,87,The Pao,Food,1,13.41
100036,87,The Pao,Food,1,13.41
100037,107,water cup,NA Beverage,1,0.0
100037,46,Large Kimchi Fry,Food,1,13.38
100037,86,The Jam,Food,1,15.07
100037,68,Shrimp Banh Mi,Food,1,12.86
100038,46,Large Kimchi Fry,Food,1,13.38
100038,52,Pesto Banh Mi,Food,1,10.71
100038,87,The Pao,Food,1,13.41
100038,86,The Jam,Food,1,15.07
100038,87,The Pao,Food,1,13.41
100039,84,The Balls,Food,1,14.1
100039,24,Fried Chicken Bowl,Food,1,14.34
100040,11,Cans,Beer,1,5.83
100040,89,The Shrimp,Food,1,15.42
100040,90,The Shroom,Food,1,14.66
100041,19,Drafts,Beer,1,6.25
100041,13,Children's Popcorn Chicken,Food,1,5.98
100041,87,The Pao,Food,1,13.41
100042,69,Shrimp Salad,Food,1,13.03
100042,76,Soda,NA Beverage,1,2.95
100043,76,Soda,NA Beverage,1,2.95
100043,23,Fried Chicken Banh Mi,Food,1,11.66
100043,23,Fried Chicken Banh Mi,Food,1,11.66
100044,44,Kung Pao Pork Salad,Food,1,11.06
100044,107,water cup,NA Beverage,1,0.0
100045,13,Children's Popcorn Chicken,Food,1,5.98
100045,58,Pork Banh Mi,Food,1,10.81
100045,2,Adult Popcorn Chicken,Food,1,9.03
100045,13,Children's Popcorn Chicken,Food,1,5.98
100045,76,Soda,NA Beverage,1,2.95
100046,44,Kung Pao Pork Salad,Food,1,11.06
100046,88,The Pesto,Food,1,13.44
100046,76,Soda,NA Beverage,1,2.95
100047,76,Soda,NA Beverage,1,2.95
100047,81,Spring Rolls,Food,1,6.52
100047,88,The Pesto,Food,1,13.44
100047,76,Soda,NA Beverage,1,2.95
100047,19,Drafts,Beer,1,6.25
100048,76,Soda,NA Beverage,1,2.95
100048,23,Fried Chicken Banh Mi,Food,1,11.66
100048,107,water cup,NA Beverage,1,0.0
100049,58,Pork Banh Mi,Food,1,10.81
100049,58,Pork Banh Mi,Food,1,10.81
100049,86,The Jam,Food,1,15.07
100049,75,Small Plain Fry,Food,1,4.18
100050,58,Pork Banh Mi,Food,1,10.81
100050,97,Veggie Burger,Food,1,10.78
100051,47,Large Plain Fry,Food,1,6.3
100051,11,Cans,Beer,1,5.83
100051,87,The Pao,Food,1,13.41
100051,89,The Shrimp,Food,1,15.42
100051,76,Soda,NA Beverage,1,2.95
100052,107,water cup,NA Beverage,1,0.0
100052,85,The Fritz,Food,1,13.36
100052,84,The Balls,Food,1,14.1
100052,24,Fried Chicken Bowl,Food,1,14.34
100052,87,The Pao,Food,1,13.41
100052,24,Fried Chicken Bowl,Food,1,14.34
100053,58,Pork Banh Mi,Food,1,10.81
100053,47,Large Plain Fry,Food,1,6.3
100054,59,Portobello Banh Mi,Food,1,10.98
100054,87,The Pao,Food,1,13.41
100054,74,Small Kimchi Fry,Food,1,9.65
100055,88,The Pesto,Food,1,13.44
100055,8,Calamari Banh Mi,Food,1,14.5
100055,86,The Jam,Food,1,15.07
100055,107,water cup,NA Beverage,1,0.0
100055,76,Soda,NA Beverage,1,2.95
100056,89,The Shrimp,Food,1,15.42
100056,86,The Jam,Food,1,15.07
100057,13,Children's Popcorn Chicken,Food,1,5.98
100057,23,Fried Chicken Banh Mi,Food,1,11.66
100058,75,Small Plain Fry,Food,1,4.18
100058,86,The Jam,Food,1,15.07
100059,107,water cup,NA Beverage,1,0.0
100060,89,The Shrimp,Food,1,15.42
100060,76,Soda,NA Beverage,1,2.95
100060,48,Lemon Blueberry Cookie,Food,1,3.5
100060,67,Scoop Fried Rice,Food,1,5.0
100060,90,The Shroom,Food,1,14.66
100061,87,The Pao,Food,1,13.41
100062,75,Small Plain Fry,Food,1,4.18
100062,87,The Pao,Food,1,13.41
100062,4,Beer Battered Cod Rice Bowl,Food,1,14.3
100062,52,Pesto Banh Mi,Food,1,10.71
100062,77,Soft Serve,Food,1,6.0
100062,87,The Pao,Food,1,13.41
100062,87,The Pao,Food,1,13.41
100063,58,Pork Banh Mi,Food,1,10.81
100063,76,Soda,NA Beverage,1,2.95
100063,54,Pesto Chicken Salad,Food,1,11.02
100064,46,Large Kimchi Fry,Food,1,13.38
100064,23,Fried Chicken Banh Mi,Food,1,11.66
100065,11,Cans,Beer,1,5.83
100065,46,Large Kimchi Fry,Food,1,13.38
100065,76,Soda,NA Beverage,1,2.95
100065,87,The Pao,Food,1,13.41
100065,76,Soda,NA Beverage,1,2.95
100065,107,water cup,NA Beverage,1,0.0
100065,23,Fried Chicken Banh Mi,Food,1,11.66
100065,46,Large Kimchi Fry,Food,1,13.38
100066,14,Chocolate Pretzel Cookie,Food,1,3.5
100066,87,The Pao,Food,1,13.41
100066,107,water cup,NA Beverage,1,0.0
