order_id,order_timestamp,party_size,order_total,item_count
100000,2025-01-01 12:11:00,5,23.13,6
100001,2025-01-01 12:51:00,2,43.48,4
100002,2025-01-01 12:41:00,2,26.3,4
100003,2025-01-01 12:31:00,4,60.21,5
100004,2025-01-01 12:36:00,2,33.83,4
100005,2025-01-01 12:32:00,1,15.56,3
100006,2025-01-01 12:26:00,2,30.16,2
100007,2025-01-01 12:50:00,3,50.4,4
100008,2025-01-01 12:19:00,3,35.46,3
100009,2025-01-01 12:51:00,2,46.07,4
100010,2025-01-01 12:20:00,2,25.71,3
100011,2025-01-01 12:03:00,4,34.94,4
100012,2025-01-01 12:21:00,2,28.33,4
100013,2025-01-01 12:45:00,3,28.07,3
100014,2025-01-01 12:22:00,2,9.67,2
100015,2025-01-01 12:40:00,3,48.96,5
100016,2025-01-01 12:19:00,6,51.37,6
100017,2025-01-01 12:28:00,2,6.37,2
100018,2025-01-01 12:15:00,1,30.79,2
100019,2025-01-01 19:53:00,2,45.23,4
100020,2025-01-01 19:43:00,1,6.37,3
100021,2025-01-01 19:21:00,2,39.01,3
100022,2025-01-01 19:55:00,1,31.31,3
100023,2025-01-01 19:42:00,2,16.09,2
100024,2025-01-01 19:48:00,2,9.99,2
100025,2025-01-01 19:59:00,6,99.79,8
100026,2025-01-01 19:54:00,5,65.03,6
100027,2025-01-01 19:06:00,3,52.08,4
100028,2025-01-01 19:39:00,2,34.91,4
100029,2025-01-01 19:29:00,5,59.62,7
100030,2025-01-01 19:49:00,2,20.83,2
100031,2025-01-01 19:33:00,2,19.46,3
100032,2025-01-01 19:30:00,3,35.89,4
100033,2025-01-01 19:27:00,3,39.38,3
100034,2025-01-01 19:39:00,2,19.26,3
100035,2025-01-01 19:11:00,2,28.93,2
100036,2025-01-01 19:56:00,2,43.82,4
100037,2025-01-01 19:47:00,2,44.61,4
100038,2025-01-01 19:01:00,3,71.25,5
100039,2025-01-01 19:47:00,1,30.71,2
100040,2025-01-01 19:13:00,3,38.78,3
