order_id,order_timestamp,party_size,order_total,item_count,order_date,has_event,event_count,max_event_attendance,closest_event_distance
100000,2025-01-01 12:11:00,5,23.13,6,2025-01-01,0,0,0,99.0
100001,2025-01-01 12:51:00,2,43.48,4,2025-01-01,0,0,0,99.0
100002,2025-01-01 12:41:00,2,26.3,4,2025-01-01,0,0,0,99.0
100003,2025-01-01 12:31:00,4,60.21,5,2025-01-01,0,0,0,99.0
100004,2025-01-01 12:36:00,2,33.83,4,2025-01-01,0,0,0,99.0
100005,2025-01-01 12:32:00,1,15.56,3,2025-01-01,0,0,0,99.0
100006,2025-01-01 12:26:00,2,30.16,2,2025-01-01,0,0,0,99.0
100007,2025-01-01 12:50:00,3,50.4,4,2025-01-01,0,0,0,99.0
100008,2025-01-01 12:19:00,3,35.46,3,2025-01-01,0,0,0,99.0
100009,2025-01-01 12:51:00,2,46.07,4,2025-01-01,0,0,0,99.0
100010,2025-01-01 12:20:00,2,25.71,3,2025-01-01,0,0,0,99.0
100011,2025-01-01 12:03:00,4,34.94,4,2025-01-01,0,0,0,99.0
100012,2025-01-01 12:21:00,2,28.33,4,2025-01-01,0,0,0,99.0
100013,2025-01-01 12:45:00,3,28.07,3,2025-01-01,0,0,0,99.0
100014,2025-01-01 12:22:00,2,9.67,2,2025-01-01,0,0,0,99.0
100015,2025-01-01 12:40:00,3,48.96,5,2025-01-01,0,0,0,99.0
100016,2025-01-01 12:19:00,6,51.37,6,2025-01-01,0,0,0,99.0
100017,2025-01-01 12:28:00,2,6.37,2,2025-01-01,0,0,0,99.0
100018,2025-01-01 12:15:00,1,30.79,2,2025-01-01,0,0,0,99.0
100019,2025-01-01 19:53:00,2,45.23,4,2025-01-01,0,0,0,99.0
100020,2025-01-01 19:43:00,1,6.37,3,2025-01-01,0,0,0,99.0
100021,2025-01-01 19:21:00,2,39.01,3,2025-01-01,0,0,0,99.0
100022,2025-01-01 19:55:00,1,31.31,3,2025-01-01,0,0,0,99.0
100023,2025-01-01 19:42:00,2,16.09,2,2025-01-01,0,0,0,99.0
100024,2025-01-01 19:48:00,2,9.99,2,2025-01-01,0,0,0,99.0
100025,2025-01-01 19:59:00,6,99.79,8,2025-01-01,0,0,0,99.0
100026,2025-01-01 19:54:00,5,65.03,6,2025-01-01,0,0,0,99.0
100027,2025-01-01 19:06:00,3,52.08,4,2025-01-01,0,0,0,99.0
100028,2025-01-01 19:39:00,2,34.91,4,2025-01-01,0,0,0,99.0
100029,2025-01-01 19:29:00,5,59.62,7,2025-01-01,0,0,0,99.0
100030,2025-01-01 19:49:00,2,20.83,2,2025-01-01,0,0,0,99.0
100031,2025-01-01 19:33:00,2,19.46,3,2025-01-01,0,0,0,99.0
100032,2025-01-01 19:30:00,3,35.89,4,2025-01-01,0,0,0,99.0
100033,2025-01-01 19:27:00,3,39.38,3,2025-01-01,0,0,0,99.0
100034,2025-01-01 19:39:00,2,19.26,3,2025-01-01,0,0,0,99.0
100035,2025-01-01 19:11:00,2,28.93,2,2025-01-01,0,0,0,99.0
100036,2025-01-01 19:56:00,2,43.82,4,2025-01-01,0,0,0,99.0
100037,2025-01-01 19:47:00,2,44.61,4,2025-01-01,0,0,0,99.0
100038,2025-01-01 19:01:00,3,71.25,5,2025-01-01,0,0,0,99.0
100039,2025-01-01 19:47:00,1,30.71,2,2025-01-01,0,0,0,99.0
100040,2025-01-01 19:13:00,3,38.78,3,2025-01-01,0,0,0,99.0
100041,2025-01-01 19:55:00,2,27.69,3,2025-01-01,0,0,0,99.0
100042,2025-01-01 19:26:00,2,17.25,2,2025-01-01,0,0,0,99.0
100043,2025-01-01 19:33:00,1,28.36,3,2025-01-01,0,0,0,99.0
100044,2025-01-01 19:27:00,2,11.95,2,2025-01-01,0,0,0,99.0
100045,2025-01-01 19:16:00,4,37.53,5,2025-01-01,0,0,0,99.0
100046,2025-01-01 19:56:00,1,29.65,3,2025-01-01,0,0,0,99.0
100047,2025-01-01 19:15:00,5,34.68,5,2025-01-01,0,0,0,99.0
100048,2025-01-01 19:42:00,2,15.77,3,2025-01-01,0,0,0,99.0
100049,2025-01-01 19:15:00,2,44.15,4,2025-01-01,0,0,0,99.0
100050,2025-01-01 19:45:00,2,23.32,2,2025-01-01,0,0,0,99.0
100051,2025-01-01 19:53:00,3,47.42,5,2025-01-01,0,0,0,99.0
100052,2025-01-01 19:15:00,4,75.1,6,2025-01-01,0,0,0,99.0
100053,2025-01-01 19:10:00,2,18.48,2,2025-01-01,0,0,0,99.0
100054,2025-01-01 19:10:00,2,36.75,3,2025-01-01,0,0,0,99.0
100055,2025-01-01 19:14:00,3,49.64,5,2025-01-01,0,0,0,99.0
100056,2025-01-01 19:44:00,2,32.92,2,2025-01-01,0,0,0,99.0
100057,2025-01-01 19:10:00,2,19.05,2,2025-01-01,0,0,0,99.0
100058,2025-01-01 19:36:00,2,20.79,2,2025-01-01,0,0,0,99.0
100059,2025-01-01 19:53:00,1,0.0,1,2025-01-01,0,0,0,99.0
100060,2025-01-01 19:46:00,4,44.85,5,2025-01-01,0,0,0,99.0
100061,2025-01-01 19:08:00,1,14.48,1,2025-01-01,0,0,0,99.0
100062,2025-01-01 19:43:00,5,81.45,7,2025-01-01,0,0,0,99.0
100063,2025-01-01 19:57:00,3,26.77,3,2025-01-01,0,0,0,99.0
100064,2025-01-01 19:52:00,1,27.04,2,2025-01-01,0,0,0,99.0
100065,2025-01-02 12:19:00,6,68.63,8,2025-01-02,1,1,7421,0.4
100066,2025-01-02 12:48:00,5,39.26,5,2025-01-02,1,1,7421,0.4
100067,2025-01-02 12:52:00,3,59.09,5,2025-01-02,1,1,7421,0.4
100068,2025-01-02 12:37:00,2,16.4,4,2025-01-02,1,1,7421,0.4
100069,2025-01-02 12:30:00,2,24.94,3,2025-01-02,1,1,7421,0.4
100070,2025-01-02 12:34:00,4,56.99,6,2025-01-02,1,1,7421,0.4
100071,2025-01-02 12:21:00,2,23.35,2,2025-01-02,1,1,7421,0.4
100072,2025-01-02 12:44:00,3,38.21,4,2025-01-02,1,1,7421,0.4
100073,2025-01-02 12:30:00,2,19.0,3,2025-01-02,1,1,7421,0.4
100074,2025-01-02 12:05:00,2,32.11,3,2025-01-02,1,1,7421,0.4
100075,2025-01-02 12:50:00,1,15.77,3,2025-01-02,1,1,7421,0.4
100076,2025-01-02 12:55:00,5,47.75,5,2025-01-02,1,1,7421,0.4
100077,2025-01-02 12:02:00,2,12.83,4,2025-01-02,1,1,7421,0.4
100078,2025-01-02 12:46:00,3,35.45,3,2025-01-02,1,1,7421,0.4
100079,2025-01-02 12:17:00,3,18.74,4,2025-01-02,1,1,7421,0.4
100080,2025-01-02 12:53:00,2,18.32,4,2025-01-02,1,1,7421,0.4
100081,2025-01-02 12:44:00,1,43.47,3,2025-01-02,1,1,7421,0.4
100082,2025-01-02 12:31:00,2,29.0,2,2025-01-02,1,1,7421,0.4
100083,2025-01-02 12:13:00,2,6.37,2,2025-01-02,1,1,7421,0.4
100084,2025-01-02 12:44:00,2,15.35,3,2025-01-02,1,1,7421,0.4
100085,2025-01-02 19:59:00,1,11.57,1,2025-01-02,1,1,7421,0.4
100086,2025-01-02 19:38:00,5,49.95,7,2025-01-02,1,1,7421,0.4
100087,2025-01-02 19:37:00,4,47.72,5,2025-01-02,1,1,7421,0.4
100088,2025-01-02 19:34:00,4,34.54,4,2025-01-02,1,1,7421,0.4
100089,2025-01-02 19:33:00,2,41.45,4,2025-01-02,1,1,7421,0.4
100090,2025-01-02 19:36:00,2,23.08,2,2025-01-02,1,1,7421,0.4
100091,2025-01-02 19:03:00,4,40.35,5,2025-01-02,1,1,7421,0.4
100092,2025-01-02 19:00:00,3,14.08,5,2025-01-02,1,1,7421,0.4
100093,2025-01-02 19:53:00,3,42.0,5,2025-01-02,1,1,7421,0.4
