Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,263,4897.36,0.0,0.0,393.94,0.0,0.0,0.00,4897.36,0.0
Credit/debit,,2473,62823.45,6230.34,0.0,5052.75,0.0,0.0,6230.34,69053.79,10.8
Credit/debit,AMEX,168,5121.05,519.09,0.0,412.65,0.0,0.0,519.09,5640.14,11.0
Credit/debit,DISCOVER,91,2335.22,217.27,0.0,188.45,0.0,0.0,217.27,2552.49,10.1
Credit/debit,MASTERCARD,526,14291.53,1498.23,0.0,1140.28,0.0,0.0,1498.23,15789.76,11.4
Credit/debit,VISA,1688,41075.65,3995.75,0.0,3311.37,0.0,0.0,3995.75,45071.40,10.6
Gift Card,,1,10.0,0.0,0.0,0.78,0.0,0.0,0.00,10.00,0.0
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Subtotal,,2737,67730.81,6230.34,0.0,5447.47,0.0,0.0,6230.34,73961.15,10.0
Deposit Sales Collected,,,,,,,,,,40.13,
Total,,,,,,,,,,74001.28,
