wait_time_id,log_timestamp,party_size,quoted_wait_minutes,actual_wait_minutes,seated_timestamp,day_of_week,hour_of_day,current_party_count,current_table_occupancy_pct,wait_type
1,2024-10-01 10:31:00,2,6,4,2024-10-01 10:35:00,1,10,14,48.05,walk_in
2,2024-10-01 10:11:00,2,10,9,2024-10-01 10:20:00,1,10,13,44.6,walk_in
3,2024-10-01 10:38:00,1,13,10,2024-10-01 10:48:00,1,10,14,47.45,walk_in
4,2024-10-01 11:58:00,4,34,45,2024-10-01 12:43:00,1,11,22,76.1,walk_in
5,2024-10-01 11:02:00,4,30,44,2024-10-01 11:46:00,1,11,22,75.92,walk_in
6,2024-10-01 11:26:00,4,27,30,2024-10-01 11:56:00,1,11,22,73.63,walk_in
7,2024-10-01 11:16:00,5,26,31,2024-10-01 11:47:00,1,11,20,69.82,walk_in
8,2024-10-01 11:27:00,2,26,25,2024-10-01 11:52:00,1,11,22,75.41,walk_in
9,2024-10-01 11:26:00,2,23,19,2024-10-01 11:45:00,1,11,19,64.89,walk_in
10,2024-10-01 11:05:00,2,27,25,2024-10-01 11:30:00,1,11,21,72.3,walk_in
11,2024-10-01 12:28:00,2,44,35,2024-10-01 13:03:00,1,12,23,78.56,walk_in
12,2024-10-01 12:45:00,3,28,25,2024-10-01 13:10:00,1,12,21,71.55,walk_in
13,2024-10-01 12:35:00,2,35,33,2024-10-01 13:08:00,1,12,22,75.68,walk_in
14,2024-10-01 12:25:00,4,27,32,2024-10-01 12:57:00,1,12,20,67.79,walk_in
15,2024-10-01 12:25:00,4,31,35,2024-10-01 13:00:00,1,12,22,75.16,walk_in
16,2024-10-01 12:07:00,2,27,26,2024-10-01 12:33:00,1,12,21,71.77,walk_in
17,2024-10-01 12:29:00,4,34,31,2024-10-01 13:00:00,1,12,22,76.18,walk_in
18,2024-10-01 13:55:00,2,17,20,2024-10-01 14:15:00,1,13,19,63.6,walk_in
19,2024-10-01 13:14:00,4,24,27,2024-10-01 13:41:00,1,13,18,60.16,walk_in
20,2024-10-01 13:22:00,1,17,14,2024-10-01 13:36:00,1,13,22,74.22,walk_in
21,2024-10-01 13:03:00,2,19,23,2024-10-01 13:26:00,1,13,18,61.23,walk_in
22,2024-10-01 13:52:00,4,35,49,2024-10-01 14:41:00,1,13,22,75.52,walk_in
23,2024-10-01 13:22:00,2,26,36,2024-10-01 13:58:00,1,13,21,70.75,walk_in
24,2024-10-01 13:48:00,1,17,15,2024-10-01 14:03:00,1,13,22,73.88,walk_in
25,2024-10-01 14:50:00,1,28,21,2024-10-01 15:11:00,1,14,18,63.14,walk_in
26,2024-10-01 14:16:00,3,13,11,2024-10-01 14:27:00,1,14,13,44.72,walk_in
27,2024-10-01 14:27:00,1,8,7,2024-10-01 14:34:00,1,14,13,44.95,walk_in
28,2024-10-01 15:40:00,2,22,29,2024-10-01 16:09:00,1,15,16,56.6,walk_in
29,2024-10-01 15:12:00,2,23,31,2024-10-01 15:43:00,1,15,16,54.66,walk_in
30,2024-10-01 15:43:00,1,23,24,2024-10-01 16:07:00,1,15,18,62.67,walk_in
31,2024-10-01 16:07:00,2,10,13,2024-10-01 16:20:00,1,16,12,41.38,walk_in
32,2024-10-01 17:14:00,3,27,38,2024-10-01 17:52:00,1,17,26,87.08,walk_in
33,2024-10-01 17:59:00,2,36,36,2024-10-01 18:35:00,1,17,26,88.81,walk_in
34,2024-10-01 17:39:00,4,34,43,2024-10-01 18:22:00,1,17,24,81.28,walk_in
35,2024-10-01 17:10:00,2,44,64,2024-10-01 18:14:00,1,17,23,79.66,walk_in
36,2024-10-01 17:20:00,7,33,46,2024-10-01 18:06:00,1,17,23,77.03,walk_in
37,2024-10-01 17:27:00,4,25,35,2024-10-01 18:02:00,1,17,25,85.54,walk_in
38,2024-10-01 17:32:00,1,27,35,2024-10-01 18:07:00,1,17,23,79.58,walk_in
